id,FirstName,LastName,Biography,Link
7204,Anna,Aloisi,"American, born c. 1890, died early 1950s",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7204
2891,"Glen Earl",Alps,"American, born 1914",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2891
36256,Charles,Alston,"American, 1907 - 1977",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=36256
23829,Jakob,Alt,"German, 1789 - 1872",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=23829
24883,Jaroslav,Alt,"Czech, born 1950",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24883
26510,"Rudolf von",Alt,"Austrian, 1812 - 1905",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=26510
72,Albrecht,Altdorfer,"German, 1480 or before - 1538",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=72
2892,Erhard,Altdorfer,"German, active 1512/1561",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892
2892,Erhard,Altdorffer,"German, active 1512/1561",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892
24049,"Altichiero da Zevio","","Italian, active c. 1369 - 1388",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24049
2346,Harold,Altman,"American, 1924 - 2003",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2346
